location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
UA,2020-01-01,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.291667,-0.972222,3.027778,1.397,10.16,-1.847222,79.642149
UA,2020-01-02,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.569444,-2.277778,0.5,0.0,,-3.069444,83.247856
UA,2020-01-03,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.208333,-1.694444,1.694444,0.0,,-2.708333,83.255913
UA,2020-01-04,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.180556,-3.069444,3.0,0.0,,-1.930556,85.764324
UA,2020-01-05,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.125,0.347222,1.902778,0.5715,,0.0,92.232391
UA,2020-01-06,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.263889,-2.527778,1.027778,0.254,10.16,-2.569444,84.48445
UA,2020-01-07,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.111111,-5.847222,0.375,0.0,10.16,-6.097222,80.014617
UA,2020-01-08,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.097222,-6.444444,1.027778,0.0,10.16,-5.458333,83.957108
UA,2020-01-09,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.888889,-4.194444,0.805556,0.381,10.16,-2.736111,87.294487
UA,2020-01-10,ChIJjw5wVMHZ0UAREED2iIQGAQA,Q212,country/UKR,UA,Ukraine,UA,UKR,0,0,0,,,0,0,,,,,,,,,43733759,20263148,23470611,13549456,30835699,2973335,5415973,75.492,0.747,4589511,4383517,4898491,7208958,6406404,5906737,5539856,2983430,1816855,153781069118,3659,0.647,60199,49.0,32.0,603550,553950,32160,71.582683,28.9,6.1,7.5,70.7,24.7,177.40889,92.814873,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.138889,0.138889,2.166667,0.889,10.16,0.555556,95.903058
